title,ratings_count,rating_score,region,source,clarity_specifies_location,clarity_specifies_core_activity,clarity_indicates_activity_format,clarity_specifies_key_transport,clarity_indicates_day_trip_origin,value_highlights_access_benefit,value_specifies_guidance,value_specifies_ticket_inclusion,value_mentions_food_drink,value_indicates_target_audience,experience_specifies_group_size,experience_highlights_time_benefit,experience_specifies_duration,experience_uses_hook_keywords,experience_highlights_unique_access,quality_free_of_errors,quality_uses_appropriate_caps,quality_free_of_contact_info,quality_free_of_price_info,quality_concise_and_scannable,processed,city
Raufarhólshellir Lava Tunnel: Underground Expedition,1150,4.669565,europe,getyourguide,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,Reykjavik
Milan: Da Vinci's Last Supper Guided Tour,9240,4.60671,europe,getyourguide,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Milan
Vatican Museums & Sistine Chapel Tour with Optional Basilica,65858,4.3252907,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Vatican
Palazzo Vecchio Guided Tour,1000,4.818,europe,getyourguide,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,
Capitoline Museums Experience with Multimedia Video,871,4.259472,europe,getyourguide,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Rome
"Doge's Palace, Bridge of Sighs & Prisons Guided Tour",1803,4.258458,europe,getyourguide,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Venice
Eiffel Tower Entry Ticket with Optional Summit Access,15147,4.2831583,europe,getyourguide,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,Paris
"Vatican Museums, Sistine Chapel & Basilica Tour",7683,4.620851,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Vatican City
"Vatican, Sistine Chapel & St. Peter's Basilica Tour",7577,4.2428403,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Vatican
"Colosseum, Forum & Palatine Hill Tour & Optional Arena",12733,4.3979425,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Rome
"Colosseum, Palatine Hill & Roman Forum Guided Tour",12006,4.568882,europe,getyourguide,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Rome
From Reykjavik: Lava Caving Tour,550,4.6672726,europe,getyourguide,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Reykjavik
Colosseum: Underground and Ancient Rome Tour,6465,4.6921887,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,Rome
"Sistine Chapel, Vatican Museums and Basilica Tour",5363,4.4208465,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Rome
Sagrada Familia Skip-the-Line Entry Ticket & Tour,9176,4.8733654,europe,getyourguide,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,Barcelona
Skip-the-Line Uffizi Small Group Tour,5796,4.6067977,europe,getyourguide,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,Florence
Louvre Museum Masterpieces Tour with Reserved Access,5249,4.5997334,europe,getyourguide,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Paris
"Cathedral, Giralda, and Royal Alcázar Guided Tour",8495,4.7313714,europe,getyourguide,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Seville
Rome: Catacombs and Capuchin Crypt Guided Tour with Transfer,1170,4.536752,europe,getyourguide,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Rome
Krakow: Extreme Shooting Range with Hotel Transfers,1684,4.834917,europe,getyourguide,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,Krakow
Bratislava: Sightseeing Bus Tour,1919,4.542991,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Bratislava
Bath: City Walking Tour with Optional Roman Baths Entry,886,4.5790067,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Bath
Borghese Gallery Guided Tour with Tickets,1277,4.8050117,europe,getyourguide,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,
Belfast: Political Taxi Tour,3523,4.818053,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Belfast
Prague: Medieval Dinner with Unlimited Drinks,15758,4.420104,europe,getyourguide,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,Prague
Colosseum Underground Small Group Guided Tour,3431,4.6610317,europe,getyourguide,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,True,True,True,True,True,True,Rome
Venice: Grand Canal Gondola Ride with App Commentary,17939,4.13178,europe,getyourguide,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Venice
Oxford: University Walking Tour with Christ Church Visit,292,4.5445204,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Oxford
Azores: Whale Watching and Islet Boat Tour,2036,4.641945,europe,getyourguide,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Azores
Carrara marble quarries : Off-road marble quarry tour,18,4.888889,europe,getyourguide,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Carrara
Early-Morning Vatican Museums and Sistine Chapel Tour,1543,4.7401166,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,Vatican
Grasse: 1-hour Perfume Workshop,492,4.72561,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,Grasse
Reykjavík: Whale Watching and Marine Life Cruise,6249,4.4256682,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Reykjavík
Marbella: Sailing & Dolphin Watching with Snacks and Drinks,568,4.700704,europe,getyourguide,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,Marbella
From Rome: Villa D'Este and Hadrian's Villa Tivoli Day Tour,1767,4.5206566,europe,getyourguide,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Rome
Longyearbyen: Historic Coal Mine Tour at Gruve 3,236,4.8177967,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Longyearbyen
Domus Aurea Guided Group Tour,654,4.611621,europe,getyourguide,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,
"Rome: 3-in-1 Fettuccine, Ravioli, and Tiramisu Cooking Class",2260,4.838938,europe,getyourguide,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,Rome
From Ponta Delgada: Whale and Dolphin Watching Trip,2638,4.636088,europe,getyourguide,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Ponta Delgada
Húsavík: Whale Watching Tour with Guide,2182,4.5646195,europe,getyourguide,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Húsavík
Colosseum Sunset Tour with Entry,552,4.3514495,europe,getyourguide,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,True,True,True,Rome
Venice: Jewish Ghetto Walking Tour and Synagogue Visit,357,4.6554623,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Venice
Akureyri: 3-Hour Classic Whale Watching Tour by Ship,1974,4.5217834,europe,getyourguide,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,Akureyri
Venice: Carnival Mask Workshop,1588,4.5667505,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Venice
From Reykjavik: Northern Lights Tour with Lifetime Guarantee,1308,3.707951,europe,getyourguide,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,Reykjavik
"Vatican Museums, Sistine Chapel & St. Peters Basilica Guided",367,4.2343326,europe,getyourguide,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Vatican City
Vatican Museums Sistine Chapel & Saint Peter Basilica tour,2,5.0,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Vatican City
From Húsavík: Traditional Whale Watching Tour,1689,4.5204263,europe,getyourguide,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Húsavík
Árskógssandur: Whale-Watching Boat Trip,471,4.8407645,europe,getyourguide,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Árskógssandur
Celtic Park Stadium Tour and Dining Experience,1094,4.9021935,europe,getyourguide,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,Glasgow
La Palma: 3-Hour Dolphin and Whale Watching Experience,743,4.562584,europe,getyourguide,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,La Palma
Florence: Perfume Masterclass and Sensory Experience,264,4.712121,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Florence
Omiš: 3-Hour Cetina Canyon Zipline Experience,507,4.8658776,europe,getyourguide,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,Omiš
Reykjavík: Whale Watching Cruise on the Amelia Rose Yacht,2399,4.4197583,europe,getyourguide,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Reykjavík
Food Tour with Tastings & Sightseeing in Parma,6,4.6666665,europe,getyourguide,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,Parma
Reykjavik: Whale Watching and Dolphin Watching Yacht Cruise,503,4.423459,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Reykjavik
From Carrara: Marble Quarries Jeep Tour with Lardo Tasting,262,4.854962,europe,getyourguide,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,Carrara
Húsavík: Whale-Watching Cruise and Puffins Guided Tour,349,4.5873923,europe,getyourguide,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Húsavík
Eidfjord: 1-Hour Fjord RIB Tour,153,4.7908497,europe,getyourguide,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,Eidfjord
Reykjavik: Puffin Watching Tour,173,4.803468,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Reykjavik
Venice: Guided Kayak Tour,302,4.715232,europe,getyourguide,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Venice
Olden: Experience Beginner-friendly Fjord Kayaking,10,5.0,europe,getyourguide,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,Olden
Pula: National Park Brijuni Dolphin Cruise with Dinner,393,4.5241733,europe,getyourguide,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,Pula
Ancient History and Colosseum Underground Tour,960,4.538542,europe,getyourguide,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,Rome
Lille Driving Tour by Convertible Citroen 2CV,510,4.837255,europe,getyourguide,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Lille
"Colosseum Arena Floor, Forum & Palatine Guided Tour",2244,4.57041,europe,getyourguide,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,Rome
Fast-Track Sagrada Familia and Towers Guided Tour,3592,4.3001113,europe,getyourguide,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Barcelona
Barcelona: Tablao Flamenco Cordobes Show and Drink in Rambla,3690,4.593225,europe,getyourguide,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,Barcelona
Marbella: Sunset Sailing Trip with Drinks and Snacks,345,4.791304,europe,getyourguide,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True,Marbella
Florence Santa Croce Church Tour,167,4.8622756,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Florence
Castle Tour with Local Guide and Entry Ticket,8251,4.6717973,europe,getyourguide,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,
Oslo Nature Walks: Island Hopping Tour,1285,4.810895,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Oslo
Barcelona: Flamenco Show at City Hall Theater,7751,4.505096,europe,getyourguide,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Barcelona
Rovaniemi: Ice Fishing Experience,265,4.5886793,europe,getyourguide,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Rovaniemi
Acropolis: Acropolis and Parthenon Guided Walking Tour,2896,4.7289367,europe,getyourguide,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Athens
Rome: Opera Concert at Palazzo Poli - Fontana di Trevi,663,4.61086,europe,getyourguide,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Rome
Venice: Traveling Opera in a Historic Palace on Grand Canal,3002,4.782145,europe,getyourguide,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Venice
Guided Tour of Bernabéu Stadium,1021,3.798237,europe,getyourguide,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Madrid
Small Group Guided Tour of Acropolis & Parthenon,1516,4.692612,europe,getyourguide,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,Athens
Rovaniemi: Reindeer Farm Visit with Sleigh Ride,831,4.181709,europe,getyourguide,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Rovaniemi
Venice: Food Tasting Tour with Cicchetti Dishes and Wine,840,4.7904763,europe,getyourguide,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,Venice
Reykjavik: The Original 3-Hour Whale Watching Tour,665,4.2721806,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,Reykjavik
Sagrada Familia Tour & Optional Tower Visit,3792,4.2805905,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Barcelona
Barcelona: Flamenco Show with Dinner at Tablao de Carmen,1564,4.7359333,europe,getyourguide,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,Barcelona
Vatican Museums & St. Peter's Basilica Tour w/ Tickets,713,4.943899,europe,getyourguide,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,Vatican City
"Vatican Museums, Sistine Chapel & St. Peter's Square Tour",8035,4.6263847,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Vatican City
Vatican Museum and Sistine Chapel Guided Tour,883,4.015855,europe,getyourguide,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Vatican
Vatican & Sistine Chapel Ticket with Audio Guide,4854,4.1538935,europe,getyourguide,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,Vatican
Montalcino: Brunello Wine Tasting & Lunch in a Tuscan Castle,214,4.6635513,europe,getyourguide,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,Montalcino
"Barcelona: Tapas Walking Tour with Food, Wine, and History",3049,4.733355,europe,getyourguide,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,Barcelona
Vatican Museums & Sistine Chapel Skip-the-Line Entry,61,4.2131147,europe,getyourguide,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Vatican City
Rovaniemi: Arctic Circle Ice Fishing Experience,65,4.4461536,europe,getyourguide,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Rovaniemi
Vatican Museums Skip-the-line Entry Ticket and Tour,234,4.094017,europe,getyourguide,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,Vatican City
Florence: Pizza and Gelato Preparation Class,1090,4.817431,europe,getyourguide,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,Florence
Best of the Vatican: Fast Track Highlights,563,4.5133214,europe,getyourguide,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,Vatican
Vienna: Classic Ensemble Vienna in St. Peter's Church Ticket,3815,4.6642203,europe,getyourguide,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,Vienna
Lisbon: Food and Wine Small Group Walking Tour,2757,4.811389,europe,getyourguide,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,True,True,True,Lisbon
Barcelona: Paella Cooking Experience & Boqueria Market Tour,2732,4.7112007,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Barcelona
Rijksmuseum Guided Tour and Ticket,541,4.676525,europe,getyourguide,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,
Rome: Vatican Museums & Sistine Chapel Skip-the-Line Ticket,180,4.6,europe,getyourguide,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,Rome
Skip-the-Line St Marks & Doges Palace Guided Tour,2202,4.696185,europe,getyourguide,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Venice
Vienna: Mozart Concert at the Golden Hall,3740,4.5770054,europe,getyourguide,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Vienna
Reykjavik: Whale Watching Tour,2279,4.1649847,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Reykjavik
"Vatican Museums, Sistine Chapel and St. Peter's Tour",627,4.277512,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Vatican City
Skip-the-Line Prado Museum Guided Tour,2160,4.610185,europe,getyourguide,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Madrid
Rome: Sights by Segway Tour,431,4.911833,europe,getyourguide,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Rome
Florence: Guided Walking Tour,2949,4.5059342,europe,getyourguide,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Florence
"St Mark's Basilica, Doge Palace, & Bell Tower Option",1994,4.4749246,europe,getyourguide,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Venice
Rovaniemi: Hiking and Snowshoeing Adventure in Lapland,673,4.3387814,europe,getyourguide,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,Rovaniemi
Seville: Flamenco at El Palacio Andaluz with Optional Dinner,1067,4.4901595,europe,getyourguide,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,Seville
After-Hours St. Mark’s & Doge's Palace Tour,619,4.802908,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,Venice
"Ibiza: Ocean Club Boat Party with Premium Drinks, Food, & DJ",503,4.083499,europe,getyourguide,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,Ibiza
San Sebastian: Guided Food Tour with Pintxo Tasting & Wines,329,4.726444,europe,getyourguide,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,True,True,True,True,San Sebastian
"Rome: Colosseum, Palatine Hill, & Roman Forum Walking Tour",374,4.882353,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Rome
Barcelona: Trencadís Mosaic Class – Learn Gaudí's Technique,91,4.7362638,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Barcelona
"Pitti Palace, Boboli Garden, Palatine Gallery Tour",445,4.820225,europe,getyourguide,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Florence
"Lisbon: Hills, Alfama, and Mouraria Tour by Electric Bike",2692,4.761887,europe,getyourguide,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Lisbon
Florence: Local Hills E-Bike Tour with Olive Oil Tasting,66,4.8030305,europe,getyourguide,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,Florence
Rome: Combo Pizza and Pasta Cooking Class with Wine,883,4.686297,europe,getyourguide,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,Rome
Castel Sant'Angelo Guided Tour with Special Access,1608,4.709577,europe,getyourguide,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Rome
Tenerife: Jet Ski Tour with option for Quad Trip,2111,4.555187,europe,getyourguide,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Tenerife
Hammam Al Ándalus Entry Ticket w/Optional Massage,378,4.7380953,europe,getyourguide,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,Seville
Herculaneum: Tickets & Tour with a Local Archaeologist,161,4.8509316,europe,getyourguide,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,Herculaneum
Seville: Tapas Crawl,1272,4.889937,europe,getyourguide,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Seville
Paris: Paradis Latin Cabaret Show with Optional Champagne,1611,4.6145253,europe,getyourguide,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Paris
Seville: Spanish Cooking Class with Dinner,614,4.9201956,europe,getyourguide,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,Seville
Rome: Night Segway Tour,140,4.85,europe,getyourguide,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,Rome
From Naples: Pompeii Skip-the-Line Entry Ticket and Tour,2554,4.356695,europe,getyourguide,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,Naples
La Palma: Wildlife Viewing and Cumbre Vieja Boat Tour,156,4.448718,europe,getyourguide,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,La Palma
Camargue: Safari from Saintes-Maries-de-la-Mer,444,4.364865,europe,getyourguide,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Saintes-Maries-de-la-Mer
Venice: Off the Beaten Path Private Gondola Ride,271,4.199262,europe,getyourguide,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,Venice
Musée d'Orsay Guided Tour with Options,846,4.8049645,europe,getyourguide,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Paris
Vatican Museums and Sistine Chapel Tour with Ticket,597,4.40536,europe,getyourguide,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,Vatican
Colosseum Express Entry with Audio Guide App,1364,4.021994,europe,getyourguide,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,Rome
