title,clarity_specifies_location,clarity_specifies_core_activity,clarity_indicates_activity_format,clarity_specifies_key_transport,clarity_indicates_day_trip_origin,value_highlights_access_benefit,value_specifies_guidance,value_specifies_ticket_inclusion,value_mentions_food_drink,value_indicates_target_audience,experience_specifies_group_size,experience_highlights_time_benefit,experience_specifies_duration,experience_uses_hook_keywords,experience_highlights_unique_access,quality_free_of_errors,quality_uses_appropriate_caps,quality_free_of_contact_info,quality_free_of_price_info,quality_concise_and_scannable,processed
Leadville: Guided Snowmobile Tour,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True
"Rose Island: Swimming Pigs, Snorkel and Lunch by Speed Boat",True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True
"Cape Town: Table Mountain Cable Car, Hop-On Hop-Off Bus Tour",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Sydney Harbour: À La Carte Lunch Cruise,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True
Marrakech: Agafay Desert Quad & Camel Rides with Dinner Show,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True
Malta: Full Day Gozo Jeep tour with lunch and Boat Trip,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True,True
Private Charters for Large Groups: 5-in-1 Deluxe Experience,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
Amsterdam: Jordaan Area Private Walking Tour,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
Discover the Best Markets,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True
Ensenada: La Bufadora & Beach Horseback Riding Adventure,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True
Cultural Temple Tour with a Local Guide,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True
"Dubai: Burj Khalifa Sky Level Ticket, Levels 124, 125 & 148",True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True
Palma: Cathedral of Mallorca Skip-the-Line Entry Ticket,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True
Yellowstone National Park,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
"Rome: Flavors of Rome, a Historic Food Tour",True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,True,True,True
From Calgary: 1-Day Waterton Lakes National Park Tour - Experience Nature for $120!,True,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True
Non-Refundable: Price Category 3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
"Reykjavik: Private Brewery & Beer Tasting Tour, reach us at +354 987 6543",True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
Ultimate Dead of Night Walking Ghost Tour,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True
Rome: Private Car Tour with Professional Photo Shoot,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
Sacred Valley: Private MTB Maras & Moray Bike Tour,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
"Dubai: Flying Dress © Photoshoot ""Marilyn Package""",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
"Bahamas: Swimming Pigs & Snorkeling Cruise with Lunch & Rum, as seen on Viator",True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True
Sapporo: City Highlights Guided Tour with Local Guide,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Amber Fort Guided Tour with Skip-the-Line Tickets,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True
Huay Xai: Slow Boat trip to Luang Prabang,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Parco Murgia: Eco-Bus Open Top (official tour),True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
From Delhi: Sunrise Taj Mahal and Elephant Conservation Tour,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True
Pescara: Authentic Cooking Class at a Local's Home,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
"New York City: West Village Food Tour, book now at nycfoodtours@usa.com",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Liverpool: Total Beatles Car Tour Casbah & Cavern Clubs,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Private Central Park Horse & Carriage Ride,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
From Krakow: Czestochowa - The Black Madonna,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Levi: Evening Snowmobile Adventure,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True
"Westfield Shopping City Süd Shuttle, by Big Bus Vienna",True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
From Varanasi: Varanasi & Sarnath Full Day Guided Car Tour,False,True,True,True,True,False,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True
"Brighton Bar Crawl: 5+ Venues, Free Shots, Free Club Entry",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True
Cathedral and City Guided Tour,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Crete: Balos Cruise late and direct,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True
Gold Coast: Hot Air Balloon Flight with Buffet Breakfast,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True
Stellenbosch: Best of the Winelands Private Tour & Tastings,True,True,True,False,False,False,False,False,True,False,True,False,False,True,False,True,True,True,True,True,True
"Krakow: Jewish Quarter and Schindler Factory by Golf Car, reach us at krakowtours@poland.com",True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
Cappadocia: Private Guided Sightseeing Tour,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True
Toronto: Niagara Falls Day Tour with Boat Tour Option,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
From Delhi: Jaipur Private Trip By Car,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
Toronto: Guided Donut Walking Tour with Tastings and Coffee,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,True,True,True,True
Orlando: MCO Airport - Kennedy Space Center Luxury Transfer,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Mahe Island: Zip Lining and Marine Park Snorkeling Excursion,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Lake Tahoe and Squaw Valley: Full-Day Narrated Bus Tour,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
Stuttgart: Paintball Experience,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Zihuatanejo Ixtapa: Countryside Tour,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
From Nazca: Flight in a light aircraft over the Nazca Lines,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Benagil Cave Sunset Cruise,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True
UNESCO Thracian Tomb of Kazanlak and Buzludzha monument,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Caminito del Rey: Entry Ticket,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True
"Milford Sound, Mount Cook & More: 4 Day Tour from Queenstown",True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
QUAD BIKING AND CAMEL HALF DAY TRIP IN MARRAKESH,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
Zipline + ATV's | Salt Mines of Maras and Moray |,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Tenerife: Teide National Park Sunset & Stargazing Experience,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True
Diamond Head Hike with Transfers,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
From Osaka/Kyoto/Nara: Hiroshima and Miyajima Private Tour,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
St. Croix: Private Airport Pickup Service,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
Gothic Quarter,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Best Day Trip Around,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
From Kraków: Wieliczka Salt Mine Guided Tour,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True
From Reykjavík: Best of Iceland 6-Day Stopover Tour,True,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True
"From Cairns: Fitzroy Island Ferry, Snorkelling, & Boat Tour",True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Kluane National Park: Full Day Tour,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
FROM ICA: Full day in Caravedo Hacienda,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
"Cusco: Private transfer Tipon, Pikillacta and Andahuaylillas",True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
Tenerife: premium e-bike ride at Chineyro volcanic area,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
" Dinner Experience with the Famous ""Paella Man""",False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True
"Muscat: Grand Mosque, Souk, and Opera House Half-Day Tour",True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
"LIMA || 2D/1N: Paracas, Huacachina and Nazca.",True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Full Day at the Eiffel Tower,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
